Vehicle Type,Max Buyers/Customers (in a trip),Fixed Cost,Variable Cost,Capacity(Kg),Free KMs,Max KMs (per day),Min Weight per Buyer/Customer,Max Weight per Buyer/Customer,Max Time(hrs),uniform speed (km/min)
bolero_1,30,2000,8,2000,100,250,20,2000,720,2
bolero_2,30,2000,8,2000,100,250,20,2000,720,2
bolero_3,30,2000,8,2000,100,250,20,2000,720,2
bolero_4,30,2000,8,2000,100,250,20,2000,720,2
bolero_5,30,2000,8,2000,100,250,20,2000,720,1
bolero_6,30,2000,8,2000,100,250,20,2000,720,1
bolero_7,30,2000,8,2000,100,250,20,2000,720,1
bolero_8,30,2000,8,2000,100,250,20,2000,720,1
bolero_9,30,2000,8,2000,100,250,20,2000,720,1
bolero_10,30,2000,8,2000,100,250,20,2000,720,1
tata_1,20,1500,6,1000,70,150,10,100,720,0.5
tata_2,20,1500,6,1000,70,150,10,100,720,0.5
tata_3,20,1500,6,1000,70,150,10,100,720,0.5
tata_4,20,1500,6,1000,70,150,10,100,720,0.5
tata_5,20,1500,6,1000,70,150,10,100,720,0.5
tata_6,20,1500,6,1000,70,150,10,100,720,0.5
tata_7,20,1500,6,1000,70,150,10,100,720,0.5
tata_8,20,1500,6,1000,70,150,10,100,720,0.5
tata_9,20,1500,6,1000,70,150,10,100,720,0.5
tata_10,20,1500,6,1000,70,150,10,100,720,0.5
tata_11,20,1500,6,1000,70,150,10,100,720,0.5
tata_12,20,1500,6,1000,70,150,10,100,720,0.5
tata_13,20,1500,6,1000,70,150,10,100,720,0.5
tata_14,20,1500,6,1000,70,150,10,100,720,0.5
tata_15,20,1500,6,1000,70,150,10,100,720,0.5
tata_16,20,1500,6,1000,70,150,10,100,720,0.5
tata_17,20,1500,6,1000,70,150,10,100,720,0.5
tata_18,20,1500,6,1000,70,150,10,100,720,0.5
tata_19,20,1500,6,1000,70,150,10,100,720,0.5
tata_20,20,1500,6,1000,70,150,10,100,720,0.5
ape_1,18,1000,5,600,60,120,10,50,720,0.3
ape_2,18,1000,5,600,60,120,10,50,720,0.3
ape_3,18,1000,5,600,60,120,10,50,720,0.3
ape_4,18,1000,5,600,60,120,10,50,720,0.3
ape_5,18,1000,5,600,60,120,10,50,720,0.3
ape_6,18,1000,5,600,60,120,10,50,720,0.3
ape_7,18,1000,5,600,60,120,10,50,720,0.3
ape_8,18,1000,5,600,60,120,10,50,720,0.3
ape_9,18,1000,5,600,60,120,10,50,720,0.3
ape_10,18,1000,5,600,60,120,10,50,720,0.3
ape_11,18,1000,5,600,60,120,10,50,720,0.3
ape_12,18,1000,5,600,60,120,10,50,720,0.3
ape_13,18,1000,5,600,60,120,10,50,720,0.3
ape_14,18,1000,5,600,60,120,10,50,720,0.3
ape_15,18,1000,5,600,60,120,10,50,720,0.3
bike_1,15,600,3,40,10,50,0,10,720,0.1
bike_2,15,600,3,40,10,50,0,10,720,0.1
